split,method,strategy,mae_bpm_mean,mae_bpm_std,rmse_bpm_mean,rmse_bpm_std,pearson_r_mean,pearson_r_std,bias_bpm_mean,bias_bpm_std,snr_db_mean,snr_db_std,n_windows
train,chrom,single_forehead,48.19928364752962,17.15192634523516,48.666306851037156,16.986790599791913,-0.010082781077114546,0.43855988091464687,-45.12752950541611,20.926090345482773,-13.00933048629599,3.5365026005992837,1468
train,chrom,single_left_cheek,48.42230960449462,17.33138673975928,48.91809196337979,17.270742486589313,0.09484234909289935,0.408382825217277,-45.69149992579359,20.65309294915905,-13.096102994087834,3.8173952380213376,1468
train,chrom,single_right_cheek,48.458462980438895,17.298104452016116,48.933551500976236,17.09065362308748,-0.09687865774362414,0.4641480508022015,-45.66740710075657,20.6543913968003,-12.901523044059866,3.7999294555286247,1468
train,green,average_fusion,9.288230174825795,18.84483828187179,12.49173490444462,22.407970744576346,0.3037370305625194,0.4803806737911116,0.9340442463774409,19.82068587660387,-2.6823260943977814,4.018130408924336,1468
train,green,quality_weighted_fusion,9.679260441420178,17.697622131198365,12.562742864733512,21.335363520866782,0.287985287525628,0.5009216936963422,-0.7632326532099284,17.666063494295,-2.400793913081647,4.226296764895076,1468
train,green,signal_extraction_baseline,9.288156539325982,18.84465096858539,12.491632320280956,22.407732002435218,0.3037369791273721,0.48038066143760927,0.9339183911810431,19.820401722370097,-2.682326090162841,4.018130411207103,1468
train,green,single_forehead,15.889620564191429,20.594249541201094,20.23061874026363,22.67100360633154,0.16338012954687364,0.45720701437827044,-5.331941438467287,23.610063610624294,-6.263806720989193,2.9360724119905375,1468
train,green,single_left_cheek,12.137193601424686,19.491236900861505,15.304119324862926,22.593927237741152,0.25796927755301163,0.44328193330636145,-3.4203963568823688,20.380877207486186,-3.5873757704332627,4.007268801712131,1468
train,green,single_right_cheek,10.725494242191754,16.631766665560967,14.545944850446498,20.692840075173525,0.2532164237483103,0.4986215236000492,-2.162616708687779,17.440384434686468,-3.4555463046930415,4.160108154475414,1468
train,pos,average_fusion,7.1370690744472425,18.38945651707869,9.502504604554828,21.70151921275849,0.3914098839159924,0.4432317579158056,3.2716479411105115,18.821960178160143,0.36454160925188417,5.833613456972526,1468
train,pos,quality_weighted_fusion,7.153602673740563,18.390711715529953,9.508385934642801,21.702258929058033,0.39063273711331464,0.44598490402745666,3.2662822185180356,18.826619138874896,0.36199351221954057,6.042753203065828,1468
train,pos,signal_extraction_baseline,7.136988044123541,18.38925856058442,9.502383416070966,21.701231028936835,0.3914098204362721,0.44323171946537626,3.2715099802198666,18.821603672209328,0.3645416126834477,5.833613455447761,1468
train,pos,single_forehead,7.139261599960417,18.41772093552622,9.494985168382659,21.691679976150045,0.3992985568379985,0.4518651178654325,3.1972955788436277,18.827053736054907,-0.48130725516259004,5.133834673039174,1468
train,pos,single_left_cheek,7.115418700502401,18.404527953322784,9.458589429508327,21.73874255887763,0.38536958946992894,0.44362470656462816,3.356570455558565,18.85760754555654,-0.7098952156616682,5.033535804409888,1468
train,pos,single_right_cheek,7.201099974208285,18.40150924398313,9.543616352036585,21.68986634849033,0.3845680785236907,0.4468444488149116,3.3317099342449907,18.814327285519752,-0.67060995461102,5.071829774674737,1468
val,chrom,average_fusion,43.44361142333797,20.233447736340576,44.33162173943689,20.261685997668213,0.06555886138760272,0.41435418209881414,-36.81595378942729,17.610839012922845,-12.920970253983944,3.666273253519131,186
val,chrom,quality_weighted_fusion,43.757961090934906,19.650254109707824,44.65645921256859,19.669394128994114,0.1543076775093105,0.38821578304746385,-37.171330976054676,17.08689411768621,-12.94114685641932,3.433806325204226,186
val,chrom,signal_extraction_baseline,43.443490992774244,20.233589390708996,44.33155176440174,20.261861695529316,0.06555903661572372,0.41435420501581105,-36.815974886647304,17.610814583150123,-12.920970361057794,3.6662732807363163,186
val,chrom,single_forehead,46.156321508634775,19.521658875744055,46.95902934134815,19.36766970062853,-0.004120049527507707,0.4463556695243936,-39.50985650055936,17.353865362506284,-13.918835287709152,2.569677837690392,186
val,chrom,single_left_cheek,44.49010529873641,17.345630034439047,45.22728619343481,17.70150965801234,0.24973358585835959,0.49240424531033733,-38.31545640738524,13.964617167545578,-13.938056994328557,4.215299950128834,186
val,chrom,single_right_cheek,44.02284510470659,21.512938986123306,45.06474928567264,21.424850682468065,0.008410874479883357,0.5974302785266897,-37.97127877044677,19.048246755966968,-11.726944999441415,2.2853292021819356,186
val,green,average_fusion,12.145763294616186,9.409814209302672,17.639946657091937,14.58651735812319,0.5006169628540176,0.2639152656886505,-1.3501872671804667,10.940133456880567,-6.743531597351776,3.452944426473833,186
val,green,quality_weighted_fusion,12.583625155422732,10.435852567806863,18.48580149267011,16.466767463893554,0.5010548655973878,0.23281255465340725,-0.8903085194466174,11.940265934534859,-6.7726549655195765,3.5183727592365917,186
val,green,signal_extraction_baseline,12.145334380176262,9.40947896056326,17.63964464734787,14.586319514528375,0.5006169945581472,0.2639152786698171,-1.350327659484247,10.939231913620443,-6.743531608512069,3.452944418903456,186
val,green,single_forehead,27.00819764200947,19.357892107775623,30.74076901257764,19.927562133200606,0.3450910636370265,0.19536289861824752,-16.904341501844716,13.737896754651215,-8.107794304263416,2.4350586009679525,186
val,green,single_left_cheek,16.45998075341276,12.16999616254784,23.51034291720118,20.36672497131719,0.19918709347577793,0.38744084250420413,-1.7626030034653823,15.07849548710438,-7.140464862681969,2.3990226814974784,186
val,green,single_right_cheek,11.642795243817892,8.694825351527246,17.099293499826114,14.169098176030904,0.5497526555293649,0.28001156225145946,-1.2113657705116352,11.022841713550994,-7.222399002201726,3.3434892096450333,186
val,pos,average_fusion,13.931717361745186,16.80910632103203,20.421033433452152,27.893473593080778,0.29111566481712847,0.5103109069054068,5.939721877303738,20.65805206571182,-5.800231954742097,6.429006091541065,186
val,pos,quality_weighted_fusion,14.124410014865461,16.772431541373923,20.557603304569927,27.860338378156886,0.3183140294032354,0.5090114649138481,5.726515386418039,20.819023122317102,-5.796205487184431,6.607192473057389,186
val,pos,signal_extraction_baseline,13.931165930953545,16.808435063376063,20.420591275399662,27.89285723411268,0.29111581076890625,0.5103107130509497,5.939472273738341,20.656881034609075,-5.800231943345105,6.429006076577998,186
val,pos,single_forehead,14.624015897708123,16.8368050799254,20.949986332112097,27.758582794745326,0.3208564235454785,0.48374418686343007,5.201103917763076,21.04033220937479,-5.044200488706961,4.324050457600817,186
val,pos,single_left_cheek,13.111329430344815,16.908521282741443,19.693447480359556,28.10980376232595,0.20635274266588927,0.5411856436084964,6.680367239096026,19.917145384855502,-5.991255778352152,4.172225602512699,186
val,pos,single_right_cheek,14.163964326421587,16.787102500991196,20.54564406104534,27.862374516906527,0.38097732153715896,0.509035145595011,5.717915939816895,20.862013106454704,-6.174475962615251,4.570216590574718,186
