sample_id,split,method,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
ubfc_d2_subject3_vid_ec56752d,val,green,14.277125450872607,15.845110183773597,0.16082392270449386,-14.277125450872607,-7.648592223991761,31
ubfc_d2_subject3_vid_ec56752d,val,chrom,52.231795772429436,52.26388074059769,0.6078640912250498,-52.231795772429436,-13.366458327787246,31
ubfc_d2_subject3_vid_ec56752d,val,pos,12.469760033392138,14.017573049747579,0.13339096704521594,-12.469760033392138,-6.709055747023822,31
ubfc_d2_subject30_vid_939ba08a,train,green,4.751209037253872,8.378262895255485,0.3114429845914045,-0.5701665586419954,-2.438301315438544,38
ubfc_d2_subject30_vid_939ba08a,train,chrom,52.43905862599911,52.911346903874225,0.14462008236645496,-52.43905862599911,-12.767490933488903,38
ubfc_d2_subject30_vid_939ba08a,train,pos,3.365226135861397,5.710553158152165,0.5083734136495868,1.167573707053677,0.7196429127520068,38
ubfc_d2_subject31_vid_db460d0a,train,green,2.065275894968133,2.663360003270086,0.10508543282391924,0.06307541696648848,3.412985793223001,38
ubfc_d2_subject31_vid_db460d0a,train,chrom,27.60622195193642,28.117302334746483,0.04324774558985234,-27.60622195193642,-10.856282572299929,38
ubfc_d2_subject31_vid_db460d0a,train,pos,1.8001899719238281,2.1150176643312775,0.23718325276392593,-0.042131323563425166,7.57313539952824,38
ubfc_d2_subject32_vid_b3cec888,val,green,6.8056407967111285,15.055101424071715,0.8428817319875492,-4.837274969445812,-11.059821829240486,38
ubfc_d2_subject32_vid_b3cec888,val,chrom,60.91860311050769,61.63715311842378,-0.2717579874506144,-60.91860311050769,-18.545137025035423,38
ubfc_d2_subject32_vid_b3cec888,val,pos,2.4181576613942886,3.29970126922963,0.9364843677605552,0.9551626341533348,-5.937579474154715,38
ubfc_d2_subject33_vid_44aee0f1,train,green,3.1035122904115418,3.600019982217636,0.6469412901327886,-2.7228469759083365,-0.46831275975261644,39
ubfc_d2_subject33_vid_44aee0f1,train,chrom,69.8342008256617,70.1835346828757,-0.6188455200783831,-69.8342008256617,-12.065414347536105,39
ubfc_d2_subject33_vid_44aee0f1,train,pos,2.8017687585731004,3.5050931320920045,0.5651251132820208,-2.414996015934879,1.3136643161097683,39
ubfc_d2_subject34_vid_aed2f62a,train,green,1.3202012125807743,1.7108157714238643,0.5519847103959582,-0.32598723517067113,-1.2625360392569136,38
ubfc_d2_subject34_vid_aed2f62a,train,chrom,68.39911437943208,68.58949911632985,-0.48955067810887354,-68.39911437943208,-12.475661831698869,38
ubfc_d2_subject34_vid_aed2f62a,train,pos,1.3691237011447135,1.737050560931093,0.5498081409783278,-0.5365769953988784,6.541859506478394,38
ubfc_d2_subject35_vid_d7b63504,train,green,3.038969766561785,4.306245233615421,0.9190538172408242,1.417732427444197,-4.581426324519134,39
ubfc_d2_subject35_vid_d7b63504,train,chrom,16.651555777433607,29.711716547648358,0.458517497286139,-14.63677587959707,-10.313118423149174,39
ubfc_d2_subject35_vid_d7b63504,train,pos,2.986667332667554,4.140884700094983,0.9241535453063041,1.2638553647689166,-4.740553796802638,39
ubfc_d2_subject36_vid_7beac57a,train,green,2.5108053618002053,3.314900545779134,0.11064887533573514,-0.6923360452687549,-1.183249987828123,39
ubfc_d2_subject36_vid_7beac57a,train,chrom,77.37598016883521,77.57523184139312,0.09462341348535643,-77.37598016883521,-15.142964228078391,39
ubfc_d2_subject36_vid_7beac57a,train,pos,2.2002854831193157,2.8102150789056974,0.491208281633856,-0.9488030330742436,2.127555606849178,39
ubfc_d2_subject37_vid_4b033dba,train,green,8.28890202921394,9.121711330844716,-0.20563408977193146,-8.28890202921394,-3.9701001707033727,38
ubfc_d2_subject37_vid_4b033dba,train,chrom,15.707639440712963,16.27121570508536,0.022535505124517644,-15.707639440712963,-6.7442249749980965,38
ubfc_d2_subject37_vid_4b033dba,train,pos,8.499362692055737,9.33308589958131,-0.23041118730524066,-8.499362692055737,-3.6986762183127637,38
ubfc_d2_subject38_vid_80a9ce44,train,green,1.718954819899339,2.7730634429175254,0.660659840402421,-1.0745362501878004,3.287894178634711,39
ubfc_d2_subject38_vid_80a9ce44,train,chrom,60.02240968361879,61.736867152186505,-0.17076633722890378,-60.02240968361879,-11.817837435285977,39
ubfc_d2_subject38_vid_80a9ce44,train,pos,1.6087904710036058,2.555791693268251,0.6912338134609716,-0.7669822497245593,5.629339354056915,39
ubfc_d2_subject39_vid_eed2a37c,train,green,1.6882422031500401,2.0878559780326813,0.4583681462651379,-1.5383472931690705,3.74559218441863,39
ubfc_d2_subject39_vid_eed2a37c,train,chrom,38.962889842497994,39.05352645058975,-0.13969320720685738,-38.962889842497994,-10.74125348087666,39
ubfc_d2_subject39_vid_eed2a37c,train,pos,1.6882422031500401,2.0878559780326813,0.4583681462651379,-1.5383472931690705,5.231361630682128,39
ubfc_d2_subject4_vid_46266333,train,green,4.990623922909007,6.132486785633849,-0.26499195941519377,-3.3189329259535847,-1.3815425498350034,17
ubfc_d2_subject4_vid_46266333,train,chrom,66.98612123377183,67.00982528959977,0.7398405231107087,-66.98612123377183,-14.451855549483753,17
ubfc_d2_subject4_vid_46266333,train,pos,4.406368928797105,6.040671415750986,0.012438057331595191,-2.495141870835248,-0.7968655388222922,17
ubfc_d2_subject40_vid_15e62326,test,green,1.7302101000942176,2.069680586640786,0.39320940579781344,-1.3733877348855417,0.46752716217412926,38
ubfc_d2_subject40_vid_15e62326,test,chrom,39.880408885976465,40.19414986594315,-0.43906715217921793,-39.880408885976465,-11.32258120320412,38
ubfc_d2_subject40_vid_15e62326,test,pos,1.7782285054062037,2.1434830681656125,0.24611888884213862,-1.320782457271952,1.8425248958442262,38
ubfc_d2_subject41_vid_48605054,train,green,24.812180683257544,32.86406232592544,-0.6757216729645024,-24.312910757626536,-6.765431723031465,39
ubfc_d2_subject41_vid_48605054,train,chrom,56.81338788822299,56.90829304798018,0.1507349015263138,-56.81338788822299,-17.840132488341865,39
ubfc_d2_subject41_vid_48605054,train,pos,2.205958287118159,2.7297246814233818,0.7662305265218454,-1.3472757024757953,1.4363474757772143,39
ubfc_d2_subject42_vid_d6f3cefa,train,green,1.8691154978739972,2.825243094892873,0.886095492328658,0.9780718593022824,1.911849458802062,39
ubfc_d2_subject42_vid_d6f3cefa,train,chrom,45.916705976641474,46.095777626820244,0.3203787445467437,-45.916705976641474,-10.909340341101748,39
ubfc_d2_subject42_vid_d6f3cefa,train,pos,1.920422589220151,3.0528939650657985,0.9158007354116009,1.0293789506484363,3.6834982927115894,39
ubfc_d2_subject43_vid_db0cb8aa,train,green,8.341209427974787,15.35559915742446,0.3969220620760938,-7.571793564312872,-3.789806830915778,39
ubfc_d2_subject43_vid_db0cb8aa,train,chrom,52.66227211906297,52.78556487038177,0.08607967711775806,-52.66227211906297,-11.68221786472124,39
ubfc_d2_subject43_vid_db0cb8aa,train,pos,3.6466543572065016,5.019137593501548,-0.41489114751439227,-1.159609851622567,1.9078132604756106,39
ubfc_d2_subject44_vid_66b401c5,train,green,5.242535038998253,6.5683297780081285,-0.04582965319105459,-1.2223914297003495,-2.0971591939632086,38
ubfc_d2_subject44_vid_66b401c5,train,chrom,36.732070320530944,37.26588580335776,-0.5349558372370465,-36.732070320530944,-13.263688872403364,38
ubfc_d2_subject44_vid_66b401c5,train,pos,5.602821952418277,6.666753039045803,-0.08634068115558242,-0.3806804857755962,-1.2078369387842736,38
ubfc_d2_subject45_vid_73224054,train,green,2.697604257477022,3.895020309741975,0.24405680722417614,0.6251420193784467,-0.37153879670490303,38
ubfc_d2_subject45_vid_73224054,train,chrom,63.18280534020857,63.36942951112193,0.14310400112286734,-63.18280534020857,-12.802339839977021,38
ubfc_d2_subject45_vid_73224054,train,pos,2.2305654503609653,3.3660531669358176,0.38134479103363844,0.20431445493817116,2.4602001247450307,38
ubfc_d2_subject46_vid_06a95e8a,train,green,4.08570560526551,4.325585760490629,0.9405963196997207,-4.08570560526551,-5.884640624431875,39
ubfc_d2_subject46_vid_06a95e8a,train,chrom,44.15384050000334,44.537209928272,-0.04049481661809677,-44.15384050000334,-11.539733833028311,39
ubfc_d2_subject46_vid_06a95e8a,train,pos,3.730787932301267,4.0729185798383085,0.9112873641616365,-3.675276457691892,-1.2272833582918308,39
ubfc_d2_subject47_vid_ac0494f0,train,green,5.953004401307028,10.102517718863021,-0.11209436448429333,-3.837609717110803,-0.8041889684123167,38
